"Planet Name","St. Dist","St. Spec. Type","St. Right Asc.","St. Decli.","St. Mag. V.",
"HD 99109 b","60.5","K0","11 24 17","-01 31 44","9.1",
"HD 99492 b","18","K2V","11 26 46","+03 00 22","7.57",
"HIP 12961 b","23.8","M0","02 46 43","-23 05 12","9.7",
"HIP 14810 b","52.9","G5","03 11 14","+21 05 50","8.52",
"HIP 14810 c","52.9","G5","03 11 14","+21 05 50","8.52",
"HIP 14810 d","52.9","G5","03 11 14","+21 05 50","8.52",
"HIP 5158 b","44.8","K5","01 06 02","-22 27 11","10.21",
"HIP 70849 b","24","K7V","14 29 19","-46 27 50","10.4",
"HIP 75458 b","31.5","K2 III","15 24 55","+58 57 57","3.31",
"HR 810 b","15.5","G0V pecul.","02 42 31","-50 48 12","5.4",
"HR 8799 b","39.4","A5V","23 07 29","+21 08 03","5.96",
"HR 8799 c","39.4","A5V","23 07 29","+21 08 03","5.96",
"HR 8799 d","39.4","A5V","23 07 29","+21 08 03","5.96",
"HW Vir b","181","sdB+M","12 44 20","-08 40 17","10.9",
"HW Vir c","181","sdB+M","12 44 20","-08 40 17","10.9",
"kappa CrB b","31.1","K1IVa","15 51 14","+35 39 27","4.79",
"Kepler-4 b","550","G0","19 02 28","+50 08 09","12.7",
"Kepler-5 b",,,"19 57 38","+44 02 06",,
"Kepler-6 b",,,"19 47 21","+48 14 24",,
"Kepler-7 b",,,"19 14 20","+41 05 23",,
"Kepler-8 b","1330",,"18 45 09","+42 27 04","13.9",
"ksi Aql b","62.7","G9IIIb","19 54 15","+08 27 41","4.72",
"Lupus-TR-3 b",,"K1V","15 30 19","-42 58 46","17.4",
"MOA-2007-BLG-192-L b","1000",,"18 08 04","-27 09 00",,
"MOA-2007-BLG-400-L b","6000",,"18 09 42","-29 13 27",,
"MOA-2008-BLG-310-L b","6000",,"17 54 14","-34 46 41",,
"NGC 2423 3 b","766",,"07 37 09","-13 54 24","9.45",
"NGC 4349 No 127 b","2176",,"12 24 08","-61 52 18","7.4",
"OGLE-05-071L b","3300",,"17 50 09","-34 40 23",,
"OGLE-05-169L b","2700",,"18 06 05","-30 43 57",,
"OGLE-05-390L b","6500","M","17 54 19","-30 22 38",,
"OGLE-06-109L b","1510",,"17 52 35","-30 05 16",,
"OGLE-06-109L c","1510",,"17 52 35","-30 05 16",,
"OGLE-2007-BLG-368L b",,,,,,
"OGLE-TR-10 b","1500","G or K","17 51 28","-29 52 34",,
"OGLE-TR-111 b","1500","G or K","10 53 1","-61 24 20",,
"OGLE-TR-113 b","1500","K","10 52 24","-61 26 48",,
"OGLE-TR-132 b","1500","F","10 50 34","-61 57 25",,
"OGLE-TR-182 b",,,"11 09 19","-61 05 43","16.84",
"OGLE-TR-211 b",,,"10 40 15","-62 27 20",,
"OGLE-TR-56 b","1500","G","17 56 35","-29 32 21","16.6",
"OGLE2-TR-L9 b","900","F3","11 07 55","-61 08 46",,
"OGLE235-MOA53 b","5200",,"18 05 16","-28 53 42",,
"PSR 1257+12 b","300",,"13 00 03","12 40 57",,
"PSR 1257+12 c","300",,"13 00 03","12 40 57",,
"PSR 1257+12 d","300",,"13 00 03","12 40 57",,
"PSR B1620-26 b","3800",,"16 23 38","-26 31 53","24",
"QS Vir b",,"DA+dme","13 49 52","-13 13 38","14.8",
"rho CrB b","17.43","G0V or G2V","16 01 03","+33 18 51","5.4",
"SCR 1845 b","3.85","M8.5 V","18 45 07","-63 57 43","17.4",
"SWEEPS-04 ","2000",,"17 58 54","-29 11 21","18.8",
"SWEEPS-11 ","2000",,"17 59 03","-29 11 54","19.83",
"tau Boo b","15","F7 V","13 47 17","+17 27 22","4.5",
"TrES-1 ","157","K0V","19 04 09","+36 37 57","11.79",
"TrES-2 ","220","G0V","19 07 14","+49 18 59","11.41",
"TrES-3 ",,"G","17 52 07","+37 32 46","12.4",
"TrES-4 ","440","F","17 53 13","37 12 42","11.592",
"ups And b","13.47","F8 V","01 36 48","+41 24 38","4.09",
"ups And c","13.47","F8 V","01 36 48","+41 24 38","4.09",
"ups And d","13.47","F8 V","01 36 48","+41 24 38","4.09",
"UScoCTIO 108 b","145","M7","16 05 54","-18 18 43",,
"V391 Peg b","1400","sdB","22 04 12","+26 25 08","14.57",
"WASP-1 b",,"F7V","00 20 40","+31 59 24","11.79",
"WASP-10 b","90","K5","23 15 58","+31 27 46","12.7",
"WASP-11/HAT-P-10 b","125","K3V","03 09 29","30 40 25","11.89",
"WASP-12 b","267","G0","06 30 33","+29 40 20","11.69",
"WASP-13 b","156","G1V",,,"10.42",
"WASP-14 b","160","F5V","14 33 06","+21 53 41","9.75",
"WASP-15 b","308","F5","13 55 43","-32 09 35","10.9",
"WASP-16 b",,"G3V","14 18 44","-20 16 32","11.3",
"WASP-17 b",,"F6","15 59 51","-28 03 42","11.6",
"WASP-18 b","100","F9","01 37 25","-45 40 40","9.3",
"WASP-19 b",,"G8V","09 53 40","-45 39 33","12.3",
"WASP-2 b","144","K1V","20 30 54","+06 25 46","11.98",
